"name","serial","mac","publicIp","networkId","status","usingCellularFailover","wan1Ip","wan2Ip","networkName","networkTags","networkTimeZone","lanIp"
,"Q2QN-9J8L-SLPD","e0:55:3d:17:d4:23","64.103.26.57","N_646829496481145355","online",false,"10.10.10.106",,"MX65 Depot - 1"," Sandbox ","America/Los_Angeles",
,"Q2QN-F2KR-YVC3","e0:55:3d:70:a6:c5","64.103.26.57","N_646829496481145356","online",false,"10.10.30.104",,"MX65 Depot - 2"," Sandbox ","America/Los_Angeles",
,"Q2QN-WPR6-UJPL","e0:55:3d:17:d5:1a","64.103.26.57","N_646829496481145357","online",false,"10.10.10.108",,"MX65 Depot - 3"," Sandbox ","America/Los_Angeles",
,"Q2QN-WS5Y-DN8E","e0:55:3d:70:ad:86","64.103.26.57","N_646829496481145358","online",false,"10.10.10.109",,"MX65 Depot - 4"," Sandbox ","Etc/Greenwich",
,"Q2QN-WVV9-W4KK","e0:55:3d:17:c6:87","64.103.26.57","N_646829496481145359","online",false,"10.10.10.111",,"MX65 Depot - 5"," Sandbox ","Etc/Greenwich",
,"Q2QN-XPL2-2MPN","e0:55:3d:70:a4:d7","64.103.26.57","N_646829496481145360","online",false,"10.10.10.112",,"MX65 Depot - 6"," Sandbox ","Etc/Greenwich",
,"Q2BV-NZ63-KCSW","e0:55:3d:84:a3:65",,"N_646829496481145361","offline",,,,"Camera Depot"," Sandbox ","America/Los_Angeles",
,"Q2BV-NJY8-P6KV","e0:55:3d:84:a3:67",,"N_646829496481145361","offline",,,,"Camera Depot"," Sandbox ","America/Los_Angeles",
,"Q2BV-5YPE-R9YV","e0:55:3d:84:a3:7e",,"N_646829496481145361","offline",,,,"Camera Depot"," Sandbox ","America/Los_Angeles",
,"Q2HP-WH5E-MK7H","88:15:44:df:fe:8e","64.103.26.57","N_646829496481145362","online",,,,"Switch Depot"," Sandbox ","America/Los_Angeles","192.168.128.3"
,"Q2HP-F5K5-R88R","88:15:44:df:f3:af","64.103.26.57","N_646829496481145362","online",,,,"Switch Depot"," Sandbox ","America/Los_Angeles","192.168.128.3"
,"Q2HP-Q9S8-BVHB","e0:55:3d:d2:e6:cd","64.103.26.57","N_646829496481145362","offline",,,,"Switch Depot"," Sandbox ","America/Los_Angeles","192.168.128.3"
,"Q2HP-AJ22-UG72","88:15:44:df:76:d1","64.103.26.57","N_646829496481145362","offline",,,,"Switch Depot"," Sandbox ","America/Los_Angeles","192.168.128.2"
,"Q2HP-TQPZ-M5LP","e0:55:3d:d1:a9:b1","64.103.26.57","N_646829496481145362","offline",,,,"Switch Depot"," Sandbox ","America/Los_Angeles","192.168.128.2"
,"Q2HP-DT5F-KMJE","e0:55:3d:d1:be:67","64.103.26.57","N_646829496481145362","online",,,,"Switch Depot"," Sandbox ","America/Los_Angeles","192.168.128.2"
"texte0:55:3d:f4:98:99","Q2RD-WZ4L-U8Y2","e0:55:3d:f4:98:99","64.103.26.57","N_646829496481145363","online",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.3"
,"Q2JD-N9K5-3QRB","e0:55:3d:21:26:60","64.103.26.57","N_646829496481145363","online",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.4"
,"Q2EK-SMY9-FSWW","e0:55:3d:10:42:a6","64.103.26.57","N_646829496481145363","online",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.5"
,"Q2MD-BHHS-5FDL","88:15:44:60:21:10","64.103.26.57","N_646829496481145363","online",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.4"
,"Q2EK-S3AA-BXFW","e0:55:3d:10:42:8a","64.103.26.57","N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.5"
,"Q2MD-L9M8-Y8U5","88:15:44:60:2b:2a","64.103.26.57","N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.8"
,"Q2RD-4YLL-CSUN","e0:55:3d:f4:39:17","64.103.26.57","N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.2"
,"Q2JD-CAF3-Y6G2","e0:55:3d:1f:a7:10","64.103.26.57","N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.4"
,"Q2RD-4ZSU-DLC6","e0:55:3d:f4:39:3a","64.103.26.57","N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.3"
,"Q2EK-SARE-UUBY","e0:55:3d:10:21:f0","64.103.26.57","N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.5"
,"Q2MD-9PJD-E9L7","88:15:44:60:20:a8","64.103.26.57","N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles","192.168.128.4"
,"Q2PD-K8FC-NBLU","e0:55:3d:f3:47:3f",,"N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2PD-JJRT-RY66","e0:55:3d:f3:45:81",,"N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2PD-KDUF-FFV6","e0:55:3d:f3:47:a5",,"N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2PD-N2AH-5Y7E","e0:55:3d:f3:4d:cb",,"N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2PD-KEUZ-FM28","e0:55:3d:f3:47:b3",,"N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2PD-Q4WV-LTCD","e0:55:3d:f3:53:14",,"N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2KD-VUCZ-2RUY","88:15:44:ab:ac:99",,"N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2PD-Q62G-DZW5","e0:55:3d:f3:53:29",,"N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2PD-LVHH-AJGZ","e0:55:3d:f3:4b:0e",,"N_646829496481145363","offline",,,,"EU AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2PD-PWC9-2KW4","0c:8d:db:db:aa:86","108.211.108.19","N_646829496481145366","online",,,,"US AP Depot"," Sandbox ","America/Los_Angeles","192.168.1.88"
,"Q2JD-V3G3-JHA3","88:15:44:ad:2d:a0",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2JD-YWZ2-KVUR","88:15:44:ad:97:c0",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2FD-X82Q-6SFQ","88:15:44:f4:f3:c0",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2ED-KDY6-Z2GF","00:18:0a:27:0b:5e",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2PD-Y4LF-CDX3","e0:cb:bc:31:82:df",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2JD-SHNA-Z4EQ","88:15:44:a6:ea:80",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2LD-98WJ-743V","0c:8d:db:b2:86:9c",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2RD-PS95-N2WJ","e0:55:3d:ee:df:1a",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2GD-T8Q9-ZNJA","00:18:0a:79:a8:da",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2PD-GP6W-ZGBC","0c:8d:db:65:89:27",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2RD-PPCW-Z5SX","e0:55:3d:ee:de:34",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2RD-6YRX-3EJV","0c:8d:db:67:01:86",,"N_646829496481145366","offline",,,,"US AP Depot"," Sandbox ","America/Los_Angeles",
,"Q2KD-XLKM-MWFG","88:15:44:a8:03:e9","47.188.249.116","N_646829496481145383","offline",,,,"Hotel WiFi - 1"," Sandbox ","America/Los_Angeles","10.0.0.6"
,"Q2RD-3FEM-RR52","e0:55:3d:ee:17:d3","84.83.128.246","N_646829496481145383","offline",,,,"Hotel WiFi - 1"," Sandbox ","America/Los_Angeles","192.168.0.40"
,"Q2RD-SMEN-PRRV","e0:55:3d:ee:fa:4f","66.78.230.19","N_646829496481145383","offline",,,,"Hotel WiFi - 1"," Sandbox ","America/Los_Angeles","192.168.128.10"
,"Q2PD-VJ5C-HN2Z","e0:cb:bc:31:ef:91","63.231.221.162","N_646829496481145630","offline",,,,"DevNet Demo"," Sandbox ","America/Los_Angeles","172.17.250.108"
,"Q2MD-Q3FB-56XA","88:15:44:60:4b:0a",,"L_646829496481099453","offline",,,,"SNOW Dallas 1224"," demo snow ","Etc/Greenwich",